id,title,annotator,Q1.1,Q1.2,Q1.3,Q1.3.1,Q1.4,Q1.5,Q1.6,Q1.7,Q1.7.1
10f94a5c-6633-4dbc-9447-7a9594f6ec2d,Affitto non pagato per 12mila euro| la “Bottigelli” salva famiglia dallo sfratto,Angelo,2;1;1;1;1,4,1;4,1,1,4,4,-1,-1
38a585d6-9b28-49f0-b279-7c0dd1e73d3a,Russia: Steven Seagal entra in partito pro-Cremlino,Marinella,2;1;1;1;1,4,1;3,-1,1,4,4,-1,-1
38a585d6-9b28-49f0-b279-7c0dd1e73d3a,Russia: Steven Seagal entra in partito pro-Cremlino,Angelo,2;1;1;1;1,4,1;3,-1,2,4,4,-1,-1
3b309016-8a65-47b6-8d2b-91716ed04bc9,Potenza| strage di Covid in casa di riposo: morti oltre metà degli anziani. «Operatori al lavoro anche se positivi»,Manuel,2;1;1;1;1,4,1;3,1,-1,3,2,1,-1
14449e38-aa1b-40a3-92e7-a5e8bee33cdf,Efe Bal boccia il Ddl Zan: “Io| trans| dico che è una legge stupida e inutile”,Marinella,1;1;2;1;1,1,1;3;4,-1,-1,2,2,2,3
679544ad-3238-4a0b-bba8-58cd8b6304d5,Smantellata banda dello spaccio a Cagliari: 14 misure di custodia cautelare dalla Direzione antimafia,Marinella,2;1;1;1;1,4,1;3,1,-1,4,4,1,-1
6592aba7-42da-4b43-8249-99f57758c02e,Bielorussia| in piazza in Europa contro il regime di Lukashenko,Manuel,2;1;1;1;1,4,1,-1,-1,4,3,1,-1
bf65ccac-0503-4e2b-838b-5e0ffd211788,Un silenzio complice dell’orrore,Angelo,1;2;1;1;1,4,9,-1,1,3,2,-1,4
d9fdc783-561b-4877-9039-8378a076b0f0,Post contro la Meloni| il prof fa il martire: “Avete aggredito la ricerca…”. Giorgia risponde per le rime,Marinella,2;1;1;1;1,4,1;3;4;9,-1,-1,-1,-1,-1,3;4
b0e8474a-3d81-4e6e-b9a7-8dcf5e2bccd9,Regno Unito| giornalista BBC muore a 44 anni dopo vaccino AstraZeneca,Marinella,2;1;1;1;1,4,1,-1,-1,3,4,1,-1
d7137589-65e6-426a-9f91-4fa2497b51c7,Ex Ilva: sentenza| 22 e 20 anni a Fabio e Nicola Riva| confisca impianti a caldo,Marinella,2;1;1;1;1,4,1;3,2,-1,4,1,-1,-1
9a77fd35-2ff1-47f3-9cc4-15bb08eeefee,Terrorismo| imam arrestato ad Alessandria: invocava la distruzione del Vaticano durante la preghiera,Marinella,2;1;1;1;1,4,1;3,-1,-1,3,4,1,-1
ecb2d74c-46dc-48fe-948e-a2090a2ffd2e,Caos M5S| Conte: “Se i parlamentari chiedono lo statuto glielo illustro”. E Crimi sfida Grillo: voto per il direttivo su Sky Vote,Manuel,2;1;1;1;1,-1,1;3;4,1,1,4,4,1,-1
